StationID,Latitude,Longitude,Title,TotalCapacity_kW,StationType,Bands,label,top_score,n_pois_in_radius,huff_score_work,huff_score_education,huff_score_shopping,huff_score_personal_business,huff_score_social,huff_score_leisure,huff_score_holiday
306002,52.6016845,1.2274456,,222.0,Fast site,Fast (8–49kW),leisure,0.0309,34,0.001,0.0084,0.0025,0.0021,0.0,0.0309,0.0008
296004,53.48189484,-2.256413623,,220.0,Fast site,Fast (8–49kW),leisure,0.3531,728,0.1295,0.0031,0.0539,0.0378,0.0196,0.3531,0.0182
295965,50.82208036,-0.147311482,,220.0,Fast site,Fast (8–49kW),shopping,0.253,705,0.0252,0.008,0.253,0.1633,0.0694,0.0539,0.0938
290869,52.12200155,-1.974665788,,220.0,Fast site,Fast (8–49kW),work,0.0147,8,0.0147,0.0,0.0,0.0019,0.0,0.0043,0.0044
289284,52.360389747109735,-0.1602034168031423,,220.0,Fast site,Fast (8–49kW),leisure,0.0339,15,0.0037,0.0,0.0053,0.0,0.0,0.0339,0.0
266242,51.4532079,-0.97441,,220.0,Fast site,Fast (8–49kW),shopping,0.6663,748,0.2725,0.0068,0.6663,0.1364,0.0741,0.0584,0.0071
255896,56.20959800000014,-3.1460169999986647,,220.0,Fast site,Fast (8–49kW),holiday,0.1314,9,0.0023,0.0,0.0029,0.0,0.0,0.0191,0.1314
195197,56.012551,-4.605715,,220.0,Fast site,Fast (8–49kW),work,0.0181,9,0.0181,0.0,0.0,0.0,0.0,0.0012,0.0051
194647,52.45408569835067,-1.8551022462476112,,220.0,Fast site,Fast (8–49kW),work,0.0958,121,0.0958,0.0122,0.0642,0.0102,0.004,0.0257,0.0
192921,51.848406,-1.352957,,220.0,Fast site,Fast (8–49kW),leisure,0.0397,66,0.0023,0.0,0.0069,0.0161,0.0178,0.0397,0.0146
189417,52.68804889645,-2.0143558890738404,,220.0,Fast site,Fast (8–49kW),shopping,0.1527,88,0.0179,0.0,0.1527,0.0044,0.0,0.1386,0.0
134379,51.453586,-0.079349,,220.0,Fast site,Slow (3–8kW),leisure,0.2289,118,0.0012,0.0173,0.0175,0.0218,0.0072,0.2289,0.0
130127,51.621975,-1.286687,,220.0,Fast site,Fast (8–49kW),work,0.1206,63,0.1206,0.0013,0.0075,0.0,0.0,0.0748,0.0
128215,51.518833,-0.613212,,220.0,Fast site,Fast (8–49kW),shopping,0.0389,70,0.0345,0.0223,0.0389,0.0039,0.0022,0.0356,0.0
121433,51.394401,-0.206198,,220.0,Fast site,Slow (3–8kW),leisure,0.0993,52,0.0032,0.0117,0.0,0.0025,0.0013,0.0993,0.0013
108592,53.468988,-2.355507,,220.0,Fast site,Fast (8–49kW),leisure,0.058,70,0.0028,0.0084,0.0114,0.002,0.0019,0.058,0.0063
71798,51.4038574,-1.32377569999994,,220.0,Fast site,Fast (8–49kW),shopping,1.3527,289,0.0615,0.0051,1.3527,0.0487,0.0149,0.0238,0.0082
195248,52.477607,-1.89115,,216.0,Fast site,Fast (8–49kW);Slow (3–8kW),shopping,0.4191,713,0.1126,0.0294,0.4191,0.154,0.0435,0.0321,0.0133
195238,52.477809,-1.891202,,216.0,Fast site,Fast (8–49kW);Slow (3–8kW),shopping,0.4375,728,0.1031,0.0265,0.4375,0.1553,0.0378,0.0317,0.0122
194597,53.98162514046794,-1.051295474945391,,216.0,Fast site,Slow (3–8kW),leisure,0.0907,113,0.0197,0.0,0.0383,0.0125,0.0,0.0907,0.0033
130929,51.483249,-0.305786,,210.0,Fast site,Slow (3–8kW),work,0.0897,137,0.0897,0.0086,0.0863,0.0354,0.0281,0.0395,0.0022
71839,51.6024859025441,-0.221784417968829,,210.0,Fast site,Slow (3–8kW),leisure,0.0221,13,0.0,0.0,0.0013,0.0,0.0,0.0221,0.0
267411,51.44815436754891,-2.201387621674144,,209.0,Fast site,Fast (8–49kW);Rapid (50–149kW),residential,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
162051,52.664782,-1.966612,,207.0,Fast site,Fast (8–49kW);Rapid (50–149kW),leisure,0.073,60,0.015,0.0,0.0288,0.0321,0.0,0.073,0.0342
258999,53.417366,-2.638865,,204.0,Fast site,Fast (8–49kW),leisure,0.1902,58,0.0049,0.0,0.0263,0.033,0.0006,0.1902,0.0031
258996,51.534888,-3.576729,,204.0,Fast site,Fast (8–49kW),leisure,0.2347,161,0.0,0.0,0.1893,0.1287,0.0,0.2347,0.0024
258939,52.082938,-0.748392,,204.0,Fast site,Fast (8–49kW),personal_business,0.0472,18,0.0,0.0,0.03,0.0472,0.0004,0.0202,0.0023
258811,52.993204,-2.289229,,204.0,Fast site,Fast (8–49kW),personal_business,0.0284,18,0.0,0.0,0.0267,0.0284,0.0,0.0178,0.0
258805,52.677348,-2.399412,,204.0,Fast site,Fast (8–49kW),leisure,0.7674,33,0.0017,0.0,0.0428,0.0233,0.0,0.7674,0.0277
209666,54.651506,-5.802043,,198.0,Fast site,Fast (8–49kW),leisure,0.0481,58,0.0012,0.0005,0.0026,0.0013,0.0012,0.0481,0.0164
