StationID,Latitude,Longitude,Title,TotalCapacity_kW,StationType,Bands
101,56.012551,-4.605715,,220.0,Fast site,Fast (8–49kW)
102,52.45408569835067,-1.8551022462476112,,220.0,Fast site,Fast (8–49kW)
103,51.848406,-1.352957,,220.0,Fast site,Fast (8–49kW)
104,52.68804889645,-2.0143558890738404,,220.0,Fast site,Fast (8–49kW)
105,51.453586,-0.079349,,220.0,Fast site,Slow (3–8kW)
106,51.621975,-1.286687,,220.0,Fast site,Fast (8–49kW)
107,51.518833,-0.613212,,220.0,Fast site,Fast (8–49kW)
108,51.394401,-0.206198,,220.0,Fast site,Slow (3–8kW)
109,53.468988,-2.355507,,220.0,Fast site,Fast (8–49kW)
110,51.4038574,-1.32377569999994,,220.0,Fast site,Fast (8–49kW)
111,52.477607,-1.89115,,216.0,Fast site,Fast (8–49kW);Slow (3–8kW)
112,52.477809,-1.891202,,216.0,Fast site,Fast (8–49kW);Slow (3–8kW)
113,53.98162514046794,-1.051295474945391,,216.0,Fast site,Slow (3–8kW)
114,53.9877632541361,-1.049329277410834,,210.0,Fast site,Fast (8–49kW);Rapid (50–149kW)
115,51.483249,-0.305786,,210.0,Fast site,Slow (3–8kW)
116,51.6024859025441,-0.221784417968829,,210.0,Fast site,Slow (3–8kW)
117,51.44815436754891,-2.201387621674144,,209.0,Fast site,Fast (8–49kW);Rapid (50–149kW)
118,52.664782,-1.966612,,207.0,Fast site,Fast (8–49kW);Rapid (50–149kW)
119,53.417366,-2.638865,,204.0,Fast site,Fast (8–49kW)
120,51.534888,-3.576729,,204.0,Fast site,Fast (8–49kW)
121,52.082938,-0.748392,,204.0,Fast site,Fast (8–49kW)
122,52.993204,-2.289229,,204.0,Fast site,Fast (8–49kW)
123,52.677348,-2.399412,,204.0,Fast site,Fast (8–49kW)
124,54.651506,-5.802043,,198.0,Fast site,Fast (8–49kW)
125,51.4615221357197,-0.926279429686021,,195.0,Fast site,Fast (8–49kW);Slow (3–8kW)
126,52.470572,-1.54607,,192.0,Fast site,Fast (8–49kW)
127,51.764775,-0.215488,,189.0,Fast site,Slow (3–8kW)
128,52.452319,-1.731253,,187.0,Fast site,Fast (8–49kW);Rapid (50–149kW)
129,53.31516,-1.282853,,182.0,Fast site,Fast (8–49kW)
130,53.567995,-2.232203,,182.0,Fast site,Fast (8–49kW)
131,52.08378,-0.74814,,182.0,Fast site,Fast (8–49kW)
132,53.315831,-1.281597,,182.0,Fast site,Fast (8–49kW)
133,52.994315,-2.290308,,182.0,Fast site,Fast (8–49kW)
134,53.465209,-2.934406,,182.0,Fast site,Slow (3–8kW)
135,51.52449992931548,-0.718860198698053,,182.0,Fast site,Slow (3–8kW)
136,53.2278774290065,-2.8850441292343,,182.0,Fast site,Slow (3–8kW)
137,51.470027,-0.452521,,182.0,Fast site,Slow (3–8kW)
138,51.357616304891394,1.3922317640469828,,176.0,Fast site,Fast (8–49kW)
139,51.1163840198422,0.5788885552742613,,176.0,Fast site,Fast (8–49kW)
140,55.00561267210057,-7.324701032553548,,176.0,Fast site,Fast (8–49kW)
141,51.75505564122571,-1.2597127000284445,,176.0,Fast site,Fast (8–49kW)
142,52.5705,1.1119,,176.0,Fast site,Fast (8–49kW)
143,51.93743611919498,1.2824971953971271,,176.0,Fast site,Fast (8–49kW)
144,51.50783246,0.037983805,,176.0,Fast site,Fast (8–49kW)
145,50.630892,-2.462162,,176.0,Fast site,Fast (8–49kW)
146,54.595833,-5.937272,,176.0,Fast site,Fast (8–49kW)
147,51.27454233133653,-1.102684008288179,,176.0,Fast site,Fast (8–49kW)
148,54.507107,-6.053091,,176.0,Fast site,Fast (8–49kW)
149,52.726379,-1.382576,,176.0,Fast site,Fast (8–49kW)
150,51.6714451180448,-1.2789558163799484,,176.0,Fast site,Fast (8–49kW)
151,53.25288,-1.42872,,176.0,Fast site,Fast (8–49kW)
152,52.5,-2.13,,176.0,Fast site,Fast (8–49kW)
153,51.44466970781588,0.3475391549592359,,176.0,Fast site,Fast (8–49kW)
154,56.1148414954123,-3.93658705522535,,176.0,Fast site,Fast (8–49kW)
155,53.1073,-1.3121,,176.0,Fast site,Fast (8–49kW)
156,51.491497,-0.149469,,176.0,Fast site,Fast (8–49kW)
157,52.566113,-2.007402,,176.0,Fast site,Fast (8–49kW)
158,53.474721689789845,-2.2966624330467766,,176.0,Fast site,Fast (8–49kW)
159,54.877617,-6.346985,,176.0,Fast site,Fast (8–49kW)
160,51.5754764,0.0899913,,176.0,Fast site,Fast (8–49kW)
161,51.64155215,0.0551332819181989,,176.0,Fast site,Fast (8–49kW)
162,52.477447,-1.891589,,172.0,Fast site,Fast (8–49kW);Slow (3–8kW)
163,52.301276,-0.622344,,172.0,Fast site,Fast (8–49kW);Slow (3–8kW)
164,53.13913538,-2.33746566,,171.0,Fast site,Fast (8–49kW)
165,51.553404,-0.260249,,171.0,Fast site,Fast (8–49kW)
166,51.485455,-0.638891,,170.0,Fast site,Fast (8–49kW);Slow (3–8kW)
167,52.039852610389126,-1.5541145754069807,,168.0,Fast site,Slow (3–8kW)
168,52.51013362,-1.8118841,,168.0,Fast site,Slow (3–8kW)
169,52.27445938674086,-1.5694943549418667,,168.0,Fast site,Slow (3–8kW)
170,51.504414,-0.426767,,168.0,Fast site,Slow (3–8kW)
171,55.86347,-4.34404,,168.0,Fast site,Slow (3–8kW)
172,53.21830856073538,-0.6526154327368374,,165.0,Fast site,Fast (8–49kW)
173,51.269816,-2.923372,,164.0,Fast site,Fast (8–49kW)
174,51.520669,-0.016522,,161.0,Fast site,Slow (3–8kW)
175,50.71971047107479,-3.5101483152862443,,160.0,Fast site,Fast (8–49kW)
176,51.539523,-0.905884,,154.0,Fast site,Fast (8–49kW)
177,51.37159,-0.47461,,154.0,Fast site,Fast (8–49kW)
178,51.56839287322222,-1.7812203773625015,,148.0,Fast site,Slow (3–8kW)
179,51.36623941396584,-0.6831663835816446,,148.0,Fast site,Fast (8–49kW);Rapid (50–149kW)
180,51.497245,-0.069906,,148.0,Fast site,Slow (3–8kW)
181,51.4773420958,-0.022922090917,,148.0,Fast site,Slow (3–8kW)
182,52.364353,-0.696066,,147.0,Fast site,Slow (3–8kW)
183,51.591342,-0.01368,,146.0,Fast site,Fast (8–49kW);Slow (3–8kW)
184,51.6676643,-0.561420099999964,,146.0,Fast site,Fast (8–49kW);Slow (3–8kW)
185,51.202034,-2.645357,,144.0,Fast site,Fast (8–49kW)
186,52.476222,-1.895971,,142.0,Fast site,Fast (8–49kW);Slow (3–8kW)
187,51.55592993,-0.27714876,,140.0,Fast site,Slow (3–8kW)
188,50.8825127,-1.2985628,,140.0,Fast site,Slow (3–8kW)
189,51.542294,-0.49045,,140.0,Fast site,Slow (3–8kW)
