RowID,StationID,Latitude,Longitude,Capacity_kW,Quantity,Level_OCM,DfT_Level
5457,279874,54.09109967140057,-0.17886116528177354,22.0,2,Level 2 : Medium (Over 2kW),Fast (8–49kW)
5458,279874,54.09109967140057,-0.17886116528177354,22.0,2,Level 2 : Medium (Over 2kW),Fast (8–49kW)
5459,279874,54.09109967140057,-0.17886116528177354,22.0,2,Level 2 : Medium (Over 2kW),Fast (8–49kW)
5460,279849,51.4739318274586,0.017024400457344196,50.0,1,Level 3:  High (Over 40kW),Rapid (50–149kW)
5461,279849,51.4739318274586,0.017024400457344196,50.0,1,Level 3:  High (Over 40kW),Rapid (50–149kW)
5462,279848,58.643314,-3.068805,50.0,1,Level 3:  High (Over 40kW),Rapid (50–149kW)
5463,279848,58.643314,-3.068805,75.0,1,Level 3:  High (Over 40kW),Rapid (50–149kW)
5464,279848,58.643314,-3.068805,50.0,1,Level 3:  High (Over 40kW),Rapid (50–149kW)
5465,279848,58.643314,-3.068805,75.0,1,Level 3:  High (Over 40kW),Rapid (50–149kW)
5466,279848,58.643314,-3.068805,50.0,1,Level 3:  High (Over 40kW),Rapid (50–149kW)
5467,279848,58.643314,-3.068805,75.0,1,Level 3:  High (Over 40kW),Rapid (50–149kW)
5468,279773,52.45591660377312,-1.2221312148696484,22.0,2,Level 2 : Medium (Over 2kW),Fast (8–49kW)
5469,279633,51.04424174140581,-1.7876382528814645,3.6,2,Level 2 : Medium (Over 2kW),Slow (3–8kW)
5470,279633,51.04424174140581,-1.7876382528814645,7.4,2,Level 2 : Medium (Over 2kW),Slow (3–8kW)
5471,279633,51.04424174140581,-1.7876382528814645,7.4,2,Level 2 : Medium (Over 2kW),Slow (3–8kW)
5472,279633,51.04424174140581,-1.7876382528814645,7.4,2,Level 2 : Medium (Over 2kW),Slow (3–8kW)
5473,279628,53.63213852,-2.96697803,75.0,1,Level 3:  High (Over 40kW),Rapid (50–149kW)
5474,279628,53.63213852,-2.96697803,75.0,1,Level 3:  High (Over 40kW),Rapid (50–149kW)
5475,279628,53.63213852,-2.96697803,75.0,1,Level 3:  High (Over 40kW),Rapid (50–149kW)
5476,279628,53.63213852,-2.96697803,75.0,1,Level 3:  High (Over 40kW),Rapid (50–149kW)
