StationID,Latitude,Longitude,Title,TotalCapacity_kW,StationType,Bands,Below 3kW,Fast (8–49kW),Rapid (50–149kW),Slow (3–8kW),Ultra-rapid (150kW+)
157364,54.5570854633319,-1.27525178903352,0.0,246.0,Fast site,Fast (8–49kW);Slow (3–8kW),0.0,176.0,0.0,70.0,0.0
195308,51.481306,-0.461553,0.0,245.0,Fast site,Slow (3–8kW),0.0,0.0,0.0,245.0,0.0
5294,54.9767615,-1.6156849,0.0,244.0,Fast site,Slow (3–8kW),0.0,0.0,0.0,244.0,0.0
279938,51.07837650464111,-1.8019259231576825,0.0,242.0,Fast site,Fast (8–49kW),0.0,242.0,0.0,0.0,0.0
74794,51.3688223606349,-0.197550457820277,0.0,238.0,Fast site,Slow (3–8kW),0.0,0.0,0.0,238.0,0.0
471038,54.59781838901711,-5.9247848069618385,0.0,235.51999999999998,Fast site,Fast (8–49kW);Slow (3–8kW),0.0,220.79999999999998,0.0,14.72,0.0
258830,52.219129,-1.502991,0.0,234.0,Fast site,Fast (8–49kW);Rapid (50–149kW),0.0,134.0,100.0,0.0,0.0
258823,55.507667,-3.695574,0.0,234.0,Fast site,Fast (8–49kW);Rapid (50–149kW),0.0,134.0,100.0,0.0,0.0
195117,51.6223636,-1.284991,0.0,232.0,Fast site,Fast (8–49kW);Rapid (50–149kW),0.0,132.0,100.0,0.0,0.0
125382,51.515465,0.010806,0.0,232.0,Fast site,Slow (3–8kW),0.0,0.0,0.0,232.0,0.0
149405,55.916428,-4.233205,0.0,231.0,Fast site,Fast (8–49kW);Rapid (50–149kW),0.0,131.0,100.0,0.0,0.0
136997,55.867073,-3.977174,0.0,231.0,Fast site,Fast (8–49kW);Rapid (50–149kW),0.0,131.0,100.0,0.0,0.0
134089,57.28642,-2.37595,0.0,231.0,Fast site,Fast (8–49kW);Rapid (50–149kW),0.0,131.0,100.0,0.0,0.0
125074,56.628874,-2.768859,0.0,231.0,Fast site,Fast (8–49kW);Rapid (50–149kW),0.0,131.0,100.0,0.0,0.0
117969,55.048152,-3.593376,0.0,231.0,Fast site,Fast (8–49kW);Rapid (50–149kW),0.0,131.0,100.0,0.0,0.0
102239,56.562306,-2.579231,0.0,231.0,Fast site,Fast (8–49kW);Rapid (50–149kW),0.0,131.0,100.0,0.0,0.0
92076,56.50128,-2.70954,0.0,231.0,Fast site,Fast (8–49kW);Rapid (50–149kW),0.0,131.0,100.0,0.0,0.0
52032,50.4459385410763,-5.00107526779175,0.0,231.0,Fast site,Fast (8–49kW);Rapid (50–149kW),0.0,131.0,100.0,0.0,0.0
47282,56.6714382639394,-3.00510406494141,0.0,231.0,Fast site,Fast (8–49kW);Rapid (50–149kW),0.0,131.0,100.0,0.0,0.0
31372,55.9412108188738,-3.21707619092102,0.0,231.0,Fast site,Fast (8–49kW);Rapid (50–149kW),0.0,131.0,100.0,0.0,0.0
24127,55.9393584962339,-3.35600674152374,0.0,231.0,Fast site,Fast (8–49kW);Rapid (50–149kW),0.0,131.0,100.0,0.0,0.0
288213,51.70029585,0.11088924,0.0,224.0,Fast site,Fast (8–49kW);Slow (3–8kW),0.0,154.0,0.0,70.0,0.0
258897,53.631479,-2.689974,0.0,224.0,Fast site,Fast (8–49kW);Rapid (50–149kW),0.0,124.0,100.0,0.0,0.0
192401,50.8795302200799,0.0652862241562957,0.0,224.0,Fast site,Slow (3–8kW),0.0,0.0,0.0,224.0,0.0
306002,52.6016845,1.2274456,0.0,222.0,Fast site,Fast (8–49kW),0.0,222.0,0.0,0.0,0.0
296004,53.48189484,-2.256413623,0.0,220.0,Fast site,Fast (8–49kW),0.0,220.0,0.0,0.0,0.0
295965,50.82208036,-0.147311482,0.0,220.0,Fast site,Fast (8–49kW),0.0,220.0,0.0,0.0,0.0
290869,52.12200155,-1.974665788,0.0,220.0,Fast site,Fast (8–49kW),0.0,220.0,0.0,0.0,0.0
289284,52.360389747109735,-0.16020341680314232,0.0,220.0,Fast site,Fast (8–49kW),0.0,220.0,0.0,0.0,0.0
266242,51.4532079,-0.97441,0.0,220.0,Fast site,Fast (8–49kW),0.0,220.0,0.0,0.0,0.0
255896,56.20959800000014,-3.1460169999986647,0.0,220.0,Fast site,Fast (8–49kW),0.0,220.0,0.0,0.0,0.0
195197,56.012551,-4.605715,0.0,220.0,Fast site,Fast (8–49kW),0.0,220.0,0.0,0.0,0.0
194647,52.45408569835067,-1.8551022462476112,0.0,220.0,Fast site,Fast (8–49kW),0.0,220.0,0.0,0.0,0.0
192921,51.848406,-1.352957,0.0,220.0,Fast site,Fast (8–49kW),0.0,220.0,0.0,0.0,0.0
189417,52.68804889645,-2.0143558890738404,0.0,220.0,Fast site,Fast (8–49kW),0.0,220.0,0.0,0.0,0.0
134379,51.453586,-0.079349,0.0,220.0,Fast site,Slow (3–8kW),0.0,0.0,0.0,220.0,0.0
130127,51.621975,-1.286687,0.0,220.0,Fast site,Fast (8–49kW),0.0,220.0,0.0,0.0,0.0
128215,51.518833,-0.613212,0.0,220.0,Fast site,Fast (8–49kW),0.0,220.0,0.0,0.0,0.0
121433,51.394401,-0.206198,0.0,220.0,Fast site,Slow (3–8kW),0.0,0.0,0.0,220.0,0.0
108592,53.468988,-2.355507,0.0,220.0,Fast site,Fast (8–49kW),0.0,220.0,0.0,0.0,0.0
71798,51.4038574,-1.32377569999994,0.0,220.0,Fast site,Fast (8–49kW),0.0,220.0,0.0,0.0,0.0
195248,52.477607,-1.89115,0.0,216.0,Fast site,Fast (8–49kW);Slow (3–8kW),0.0,132.0,0.0,84.0,0.0
195238,52.477809,-1.891202,0.0,216.0,Fast site,Fast (8–49kW);Slow (3–8kW),0.0,132.0,0.0,84.0,0.0
194597,53.98162514046794,-1.051295474945391,0.0,216.0,Fast site,Slow (3–8kW),0.0,0.0,0.0,216.0,0.0
130929,51.483249,-0.305786,0.0,210.0,Fast site,Slow (3–8kW),0.0,0.0,0.0,210.0,0.0
71839,51.6024859025441,-0.221784417968829,0.0,210.0,Fast site,Slow (3–8kW),0.0,0.0,0.0,210.0,0.0
267411,51.44815436754891,-2.2013876216741437,0.0,209.0,Fast site,Fast (8–49kW);Rapid (50–149kW),0.0,109.0,100.0,0.0,0.0
162051,52.664782,-1.966612,0.0,207.0,Fast site,Fast (8–49kW);Rapid (50–149kW),0.0,157.0,50.0,0.0,0.0
258999,53.417366,-2.638865,0.0,204.0,Fast site,Fast (8–49kW),0.0,204.0,0.0,0.0,0.0
258996,51.534888,-3.576729,0.0,204.0,Fast site,Fast (8–49kW),0.0,204.0,0.0,0.0,0.0
258939,52.082938,-0.748392,0.0,204.0,Fast site,Fast (8–49kW),0.0,204.0,0.0,0.0,0.0
258811,52.993204,-2.289229,0.0,204.0,Fast site,Fast (8–49kW),0.0,204.0,0.0,0.0,0.0
258805,52.677348,-2.399412,0.0,204.0,Fast site,Fast (8–49kW),0.0,204.0,0.0,0.0,0.0
209666,54.651506,-5.802043,0.0,198.0,Fast site,Fast (8–49kW),0.0,198.0,0.0,0.0,0.0
65855,51.4615221357197,-0.926279429686021,0.0,195.0,Fast site,Fast (8–49kW);Slow (3–8kW),0.0,132.0,0.0,63.0,0.0
259014,52.470572,-1.54607,0.0,192.0,Fast site,Fast (8–49kW),0.0,192.0,0.0,0.0,0.0
169802,51.764775,-0.215488,0.0,189.0,Fast site,Slow (3–8kW),0.0,0.0,0.0,189.0,0.0
259004,52.452319,-1.731253,0.0,187.0,Fast site,Fast (8–49kW);Rapid (50–149kW),0.0,127.0,60.0,0.0,0.0
259013,53.31516,-1.282853,0.0,182.0,Fast site,Fast (8–49kW),0.0,182.0,0.0,0.0,0.0
258944,53.567995,-2.232203,0.0,182.0,Fast site,Fast (8–49kW),0.0,182.0,0.0,0.0,0.0
258916,52.08378,-0.74814,0.0,182.0,Fast site,Fast (8–49kW),0.0,182.0,0.0,0.0,0.0
258901,53.315831,-1.281597,0.0,182.0,Fast site,Fast (8–49kW),0.0,182.0,0.0,0.0,0.0
258868,52.994315,-2.290308,0.0,182.0,Fast site,Fast (8–49kW),0.0,182.0,0.0,0.0,0.0
188045,53.465209,-2.934406,0.0,182.0,Fast site,Slow (3–8kW),0.0,0.0,0.0,182.0,0.0
175471,51.52449992931548,-0.718860198698053,0.0,182.0,Fast site,Slow (3–8kW),0.0,0.0,0.0,182.0,0.0
