ConnectorID,StationID,Latitude,Longitude,Power_kW,DfT_Band,Level,ConnectionType,CurrentType
conn_17898,1948,54.026989,-2.795127,22.0,Fast (8–49kW),Level 2 : Medium (Over 2kW),,
conn_17899,1948,54.026989,-2.795127,22.0,Fast (8–49kW),Level 2 : Medium (Over 2kW),,
conn_17894,7225,54.085108,-0.190919,7.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
conn_17895,7225,54.085108,-0.190919,7.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
conn_17891,25150,54.109501,-3.225998,60.0,Rapid (50–149kW),Level 3:  High (Over 40kW),,
conn_17892,25150,54.109501,-3.225998,50.0,Rapid (50–149kW),Level 3:  High (Over 40kW),,
conn_17893,25150,54.109501,-3.225998,22.0,Fast (8–49kW),Level 2 : Medium (Over 2kW),,
conn_17889,1947,54.129181,-1.51885,22.0,Fast (8–49kW),Level 2 : Medium (Over 2kW),,
conn_17890,1947,54.129181,-1.51885,22.0,Fast (8–49kW),Level 2 : Medium (Over 2kW),,
conn_17886,25149,54.133419,-0.794155,60.0,Rapid (50–149kW),Level 3:  High (Over 40kW),,
conn_17887,25149,54.133419,-0.794155,50.0,Rapid (50–149kW),Level 3:  High (Over 40kW),,
conn_17888,25149,54.133419,-0.794155,22.0,Fast (8–49kW),Level 2 : Medium (Over 2kW),,
conn_17884,1946,54.17025269489454,-6.341441230138344,22.0,Fast (8–49kW),Level 2 : Medium (Over 2kW),,
conn_17885,1946,54.17025269489454,-6.341441230138344,22.0,Fast (8–49kW),Level 2 : Medium (Over 2kW),,
conn_17882,23256,54.175294491790055,-6.337922024620326,100.0,Rapid (50–149kW),Level 3:  High (Over 40kW),,
conn_17883,23256,54.175294491790055,-6.337922024620326,100.0,Rapid (50–149kW),Level 3:  High (Over 40kW),,
conn_17880,23256,54.175294491790055,-6.337922024620326,22.0,Fast (8–49kW),Level 2 : Medium (Over 2kW),,
conn_17881,23256,54.175294491790055,-6.337922024620326,22.0,Fast (8–49kW),Level 2 : Medium (Over 2kW),,
conn_17879,5785,54.17600161019362,-6.341547619244125,22.0,Fast (8–49kW),Level 2 : Medium (Over 2kW),,
conn_17877,7224,54.3326,-2.747104,7.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
conn_17878,7224,54.3326,-2.747104,7.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
conn_17875,7223,54.339154,-2.739134,7.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
conn_17876,7223,54.339154,-2.739134,7.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
conn_17873,1945,54.33985,-6.65229,22.0,Fast (8–49kW),Level 2 : Medium (Over 2kW),,
conn_17874,1945,54.33985,-6.65229,22.0,Fast (8–49kW),Level 2 : Medium (Over 2kW),,
conn_17871,26838,54.368550347799186,-6.217935696077632,150.0,Ultra-rapid (150kW+),Level 3:  High (Over 40kW),,
conn_17872,26838,54.368550347799186,-6.217935696077632,150.0,Ultra-rapid (150kW+),Level 3:  High (Over 40kW),,
conn_17867,26838,54.368550347799186,-6.217935696077632,50.0,Rapid (50–149kW),Level 3:  High (Over 40kW),,
conn_17868,26838,54.368550347799186,-6.217935696077632,50.0,Rapid (50–149kW),Level 3:  High (Over 40kW),,
conn_17869,26838,54.368550347799186,-6.217935696077632,47.0,Fast (8–49kW),Level 3:  High (Over 40kW),,
conn_17870,26838,54.368550347799186,-6.217935696077632,47.0,Fast (8–49kW),Level 3:  High (Over 40kW),,
