StationID,Power_kW,Quantity,Capacity_kW,DfT_Band,Level,ConnectionType,CurrentType
8988,120.0,2,240.0,Rapid (50–149kW),Level 3:  High (Over 40kW),,
8988,7.0,3,21.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
8989,7.0,1,7.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
8989,3.0,1,3.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
8990,7.0,1,7.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
8990,3.0,1,3.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
9034,7.0,1,7.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
9034,3.0,1,3.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
9035,7.0,1,7.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
9035,3.0,1,3.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
9037,7.0,1,7.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
9038,7.0,1,7.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
9038,3.0,1,3.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
9039,7.0,1,7.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
9039,3.0,1,3.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
9042,7.0,1,7.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
9042,3.0,1,3.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
9077,7.0,1,7.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
9077,3.0,1,3.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
9085,7.0,4,28.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
9091,7.0,1,7.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
9091,3.0,1,3.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
9110,7.0,1,7.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
9110,3.0,1,3.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
9240,7.0,1,7.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
9240,4.0,1,4.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
9240,3.0,1,3.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
9241,7.4,1,7.4,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
9241,3.0,1,3.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
9270,7.0,1,7.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
9504,22.0,2,44.0,Fast (8–49kW),Level 2 : Medium (Over 2kW),,
9504,7.0,1,7.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
9504,3.0,1,3.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
9552,7.0,2,14.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
9552,4.0,1,4.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
9552,3.0,1,3.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
9553,3.0,1,3.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
9553,3.0,2,6.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
9582,3.0,1,3.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
9582,3.0,1,3.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
9582,3.0,1,3.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
9582,3.0,1,3.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
9584,7.0,1,7.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
9584,3.0,1,3.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
9588,22.0,2,44.0,Fast (8–49kW),Level 2 : Medium (Over 2kW),,
9592,7.0,1,7.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
9592,3.0,1,3.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
9593,3.0,1,3.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
9654,7.4,1,7.4,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
9654,3.0,1,3.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
9655,7.0,1,7.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
9655,3.0,1,3.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
9657,7.0,1,7.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
9657,7.0,1,7.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
9658,7.0,1,7.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
9658,3.0,1,3.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
9659,7.4,1,7.4,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
9659,3.0,1,3.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
9660,7.0,1,7.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
9660,3.0,1,3.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
9661,7.0,1,7.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
9661,7.0,1,7.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
9661,7.0,1,7.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
9661,7.0,1,7.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
9661,3.0,1,3.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
9661,3.0,1,3.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
9664,7.0,2,14.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
9664,3.0,1,3.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
9665,7.0,1,7.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
9665,3.0,1,3.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
9668,13.0,1,13.0,Fast (8–49kW),Level 2 : Medium (Over 2kW),,
9668,13.0,1,13.0,Fast (8–49kW),Level 2 : Medium (Over 2kW),,
9668,7.0,1,7.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
9669,7.0,1,7.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
9669,7.0,1,7.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
9669,3.0,1,3.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
9670,7.0,1,7.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
9670,3.0,1,3.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
9672,16.0,1,16.0,Fast (8–49kW),Level 2 : Medium (Over 2kW),,
9672,7.0,1,7.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
9672,7.0,1,7.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
9672,3.0,1,3.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
9673,22.0,1,22.0,Fast (8–49kW),Level 2 : Medium (Over 2kW),,
9797,7.0,1,7.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
9798,7.0,1,7.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
9798,3.0,1,3.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
9800,7.0,1,7.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
9800,3.0,1,3.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
9801,7.0,1,7.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
9801,3.0,1,3.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
9804,7.0,1,7.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
9804,3.0,1,3.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
9805,7.0,1,7.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
9805,3.0,1,3.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
9806,7.0,1,7.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
9806,3.0,1,3.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
9807,7.0,1,7.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
9807,3.0,1,3.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
9808,7.0,1,7.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
9808,3.0,1,3.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
9808,3.0,1,3.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
9809,7.0,1,7.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
9809,3.0,1,3.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
9810,7.0,2,14.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
9810,7.0,1,7.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
9811,7.7,1,7.7,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
9811,7.0,1,7.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
9811,3.0,1,3.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
9811,3.0,2,6.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
